time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,datetimes
2023-02-05 16:00:00,1647.73,1638.04,1645.02,13960.91,22940526.91,1639.77,direct,,2023-02-05
2023-02-05 17:00:00,1642.23,1618.18,1639.77,35598.17,58014176.06,1619.49,direct,,2023-02-05
2023-02-05 18:00:00,1624.64,1614.38,1619.49,16496.27,26724459.16,1616.18,direct,,2023-02-05
2023-02-05 19:00:00,1622.31,1611.8,1616.18,15558.31,25174283.26,1620.51,direct,,2023-02-05
2023-02-05 20:00:00,1623.43,1615.31,1620.51,17552.07,28399604.82,1619.46,direct,,2023-02-05
2023-02-05 21:00:00,1622.58,1613.56,1619.46,10019.37,16218452.89,1622.5,direct,,2023-02-05
2023-02-05 22:00:00,1639.45,1621.65,1622.5,14961.69,24421878.99,1634.9,direct,,2023-02-05
2023-02-05 23:00:00,1635.84,1627.93,1634.9,13337.84,21763939.55,1629.8,direct,,2023-02-05
2023-02-06 00:00:00,1642.74,1629.52,1629.8,9535.76,15613419.51,1639.39,direct,,2023-02-06
2023-02-06 01:00:00,1640.81,1631.49,1639.39,6581.82,10765695.68,1631.84,direct,,2023-02-06
2023-02-06 02:00:00,1634.35,1623.68,1631.84,7939.05,12938687.03,1623.71,direct,,2023-02-06
2023-02-06 03:00:00,1628.92,1619.62,1623.71,10499.01,17069086.77,1627.04,direct,,2023-02-06
2023-02-06 04:00:00,1629.79,1625.0,1627.04,5474.54,8909917.22,1625.58,direct,,2023-02-06
2023-02-06 05:00:00,1626.07,1611.08,1625.58,17354.99,28077497.77,1621.7,direct,,2023-02-06
2023-02-06 06:00:00,1628.01,1620.14,1621.7,7526.14,12223810.88,1625.68,direct,,2023-02-06
2023-02-06 07:00:00,1635.7,1624.63,1625.68,5193.78,8471193.54,1635.56,direct,,2023-02-06
2023-02-06 08:00:00,1637.68,1630.16,1635.56,5261.79,8598668.54,1632.54,direct,,2023-02-06
2023-02-06 09:00:00,1635.63,1628.23,1632.54,4497.45,7340033.21,1630.23,direct,,2023-02-06
2023-02-06 10:00:00,1634.08,1627.53,1630.23,4610.59,7519450.63,1631.03,direct,,2023-02-06
2023-02-06 11:00:00,1636.43,1623.16,1631.03,7869.23,12813049.58,1635.25,direct,,2023-02-06
2023-02-06 12:00:00,1638.14,1627.51,1635.25,7990.9,13050417.07,1633.57,direct,,2023-02-06
2023-02-06 13:00:00,1637.69,1627.84,1633.57,6326.02,10328086.4,1628.67,direct,,2023-02-06
2023-02-06 14:00:00,1633.77,1623.29,1628.67,15935.15,25936831.53,1629.55,direct,,2023-02-06
2023-02-06 15:00:00,1648.31,1620.05,1629.55,26000.37,42416926.64,1647.65,direct,,2023-02-06
2023-02-06 16:00:00,1657.56,1641.27,1647.65,38946.24,64189165.46,1645.02,direct,,2023-02-06
2023-02-06 17:00:00,1651.46,1642.31,1645.02,12639.01,20815479.49,1647.16,direct,,2023-02-06
2023-02-06 18:00:00,1650.29,1640.87,1647.16,11196.03,18427850.74,1646.6,direct,,2023-02-06
2023-02-06 19:00:00,1654.19,1642.49,1646.6,20651.68,34033852.72,1648.81,direct,,2023-02-06
2023-02-06 20:00:00,1649.35,1643.95,1648.81,11432.59,18817988.27,1646.9,direct,,2023-02-06
2023-02-06 21:00:00,1647.05,1636.35,1646.9,7802.26,12804451.9,1638.39,direct,,2023-02-06
2023-02-06 22:00:00,1638.85,1630.94,1638.39,13560.44,22164420.95,1632.96,direct,,2023-02-06
2023-02-06 23:00:00,1632.97,1607.64,1632.96,38610.61,62347249.54,1614.31,direct,,2023-02-06
2023-02-07 00:00:00,1621.66,1613.44,1614.31,13167.95,21305977.55,1620.19,direct,,2023-02-07
2023-02-07 01:00:00,1626.92,1619.98,1620.19,9643.53,15666764.08,1626.12,direct,,2023-02-07
2023-02-07 02:00:00,1629.84,1621.83,1626.12,6104.04,9923277.77,1629.14,direct,,2023-02-07
2023-02-07 03:00:00,1634.98,1626.97,1629.14,6919.95,11290206.07,1633.27,direct,,2023-02-07
2023-02-07 04:00:00,1637.37,1631.26,1633.27,6854.26,11197768.83,1631.87,direct,,2023-02-07
2023-02-07 05:00:00,1636.2,1631.73,1631.87,5056.84,8264872.56,1635.27,direct,,2023-02-07
2023-02-07 06:00:00,1637.4,1632.57,1635.27,5130.15,8386487.87,1633.4,direct,,2023-02-07
2023-02-07 07:00:00,1635.82,1631.39,1633.4,4887.57,7982841.82,1632.43,direct,,2023-02-07
2023-02-07 08:00:00,1633.23,1628.93,1632.43,6649.12,10843322.36,1630.39,direct,,2023-02-07
2023-02-07 09:00:00,1643.6,1630.38,1630.39,11876.24,19469122.4,1641.86,direct,,2023-02-07
2023-02-07 10:00:00,1647.4,1640.09,1641.86,7243.24,11910690.3,1642.91,direct,,2023-02-07
2023-02-07 11:00:00,1646.53,1640.74,1642.91,7143.36,11733208.78,1640.77,direct,,2023-02-07
2023-02-07 12:00:00,1644.86,1639.68,1640.77,6113.19,10040205.85,1644.11,direct,,2023-02-07
2023-02-07 13:00:00,1644.53,1634.65,1644.11,10010.01,16406750.23,1639.22,direct,,2023-02-07
2023-02-07 14:00:00,1640.89,1635.35,1639.22,14197.47,23262244.95,1637.09,direct,,2023-02-07
2023-02-07 15:00:00,1637.18,1627.56,1637.09,18500.74,30205158.06,1631.0,direct,,2023-02-07
2023-02-07 16:00:00,1642.62,1625.64,1631.0,18152.43,29668493.67,1638.7,direct,,2023-02-07
2023-02-07 17:00:00,1674.55,1629.52,1638.7,44166.7,73017239.4,1671.16,direct,,2023-02-07
2023-02-07 18:00:00,1677.31,1626.65,1671.16,73219.79,120862790.23,1638.28,direct,,2023-02-07
2023-02-07 19:00:00,1657.77,1638.16,1638.28,32765.99,54124020.05,1656.19,direct,,2023-02-07
2023-02-07 20:00:00,1668.35,1651.23,1656.19,28241.19,46928097.53,1665.32,direct,,2023-02-07
2023-02-07 21:00:00,1673.24,1664.78,1665.32,21495.23,35864268.01,1667.73,direct,,2023-02-07
2023-02-07 22:00:00,1671.4,1660.41,1667.73,13789.79,22961450.56,1665.61,direct,,2023-02-07
2023-02-07 23:00:00,1676.71,1665.5,1665.61,15916.92,26616401.09,1671.61,direct,,2023-02-07
2023-02-08 00:00:00,1689.36,1668.5,1671.61,33136.47,55693575.73,1687.74,direct,,2023-02-08
2023-02-08 01:00:00,1697.58,1681.05,1687.74,28158.14,47520370.27,1682.35,direct,,2023-02-08
2023-02-08 02:00:00,1684.03,1676.56,1682.35,11046.17,18565348.57,1676.73,direct,,2023-02-08
2023-02-08 03:00:00,1683.55,1675.84,1676.73,9136.07,15348391.25,1681.25,direct,,2023-02-08
2023-02-08 04:00:00,1683.0,1678.61,1681.25,4929.56,8284246.56,1679.78,direct,,2023-02-08
2023-02-08 05:00:00,1680.55,1672.72,1679.78,7174.23,12027590.98,1675.97,direct,,2023-02-08
2023-02-08 06:00:00,1677.59,1672.34,1675.97,6052.87,10137813.39,1674.42,direct,,2023-02-08
2023-02-08 07:00:00,1679.19,1672.89,1674.42,6597.47,11060625.13,1677.56,direct,,2023-02-08
2023-02-08 08:00:00,1677.86,1670.0,1677.56,10087.85,16884834.71,1673.66,direct,,2023-02-08
2023-02-08 09:00:00,1675.3,1670.18,1673.66,6967.64,11650957.67,1673.08,direct,,2023-02-08
2023-02-08 10:00:00,1673.25,1668.52,1673.08,7876.16,13155428.24,1671.19,direct,,2023-02-08
2023-02-08 11:00:00,1676.21,1670.25,1671.19,6339.87,10612040.08,1674.01,direct,,2023-02-08
2023-02-08 12:00:00,1677.05,1670.48,1674.01,7423.79,12428710.06,1672.02,direct,,2023-02-08
2023-02-08 13:00:00,1676.48,1669.44,1672.02,13300.15,22256200.15,1674.32,direct,,2023-02-08
2023-02-08 14:00:00,1681.44,1665.01,1674.32,26882.5,44934225.83,1670.5,direct,,2023-02-08
2023-02-08 15:00:00,1670.86,1651.44,1670.5,52348.94,86874686.67,1653.06,direct,,2023-02-08
2023-02-08 16:00:00,1654.85,1631.15,1653.06,47786.47,78508776.64,1653.28,direct,,2023-02-08
2023-02-08 17:00:00,1659.69,1647.79,1653.28,18871.57,31203159.87,1657.28,direct,,2023-02-08
2023-02-08 18:00:00,1659.82,1641.97,1657.28,21656.18,35770430.87,1646.04,direct,,2023-02-08
2023-02-08 19:00:00,1650.55,1643.08,1646.04,13178.67,21701429.4,1647.74,direct,,2023-02-08
2023-02-08 20:00:00,1648.62,1639.34,1647.74,18384.67,30217802.93,1642.56,direct,,2023-02-08
2023-02-08 21:00:00,1655.5,1640.95,1642.56,9654.88,15926001.83,1653.01,direct,,2023-02-08
2023-02-08 22:00:00,1655.25,1651.14,1653.01,7073.1,11690690.62,1651.14,direct,,2023-02-08
2023-02-08 23:00:00,1653.09,1642.58,1651.14,14748.02,24310200.75,1650.95,direct,,2023-02-08
2023-02-09 00:00:00,1655.13,1646.0,1650.95,12613.15,20815119.18,1654.54,direct,,2023-02-09
2023-02-09 01:00:00,1655.68,1650.25,1654.54,7678.67,12697712.42,1651.62,direct,,2023-02-09
2023-02-09 02:00:00,1651.93,1632.64,1651.62,17220.47,28303836.28,1632.73,direct,,2023-02-09
2023-02-09 03:00:00,1633.38,1610.94,1632.73,55195.85,89403679.64,1619.35,direct,,2023-02-09
2023-02-09 04:00:00,1627.2,1611.41,1619.35,16405.49,26578115.7,1624.0,direct,,2023-02-09
2023-02-09 05:00:00,1629.83,1622.52,1624.0,13862.05,22541807.85,1628.3,direct,,2023-02-09
2023-02-09 06:00:00,1636.24,1626.05,1628.3,8152.84,13288792.07,1634.46,direct,,2023-02-09
2023-02-09 07:00:00,1635.55,1629.78,1634.46,4991.35,8145780.94,1630.18,direct,,2023-02-09
2023-02-09 08:00:00,1636.66,1630.14,1630.18,6901.96,11274287.45,1632.86,direct,,2023-02-09
2023-02-09 09:00:00,1635.84,1630.77,1632.86,7211.08,11779358.07,1634.89,direct,,2023-02-09
2023-02-09 10:00:00,1635.11,1631.1,1634.89,6299.79,10290820.16,1633.36,direct,,2023-02-09
2023-02-09 11:00:00,1638.72,1630.83,1633.36,7656.82,12517104.37,1633.15,direct,,2023-02-09
2023-02-09 12:00:00,1642.12,1626.63,1633.15,13468.57,22018786.09,1636.63,direct,,2023-02-09
2023-02-09 13:00:00,1642.31,1634.49,1636.63,12011.21,19684619.3,1640.08,direct,,2023-02-09
2023-02-09 14:00:00,1648.83,1636.31,1640.08,17767.87,29166280.4,1637.78,direct,,2023-02-09
2023-02-09 15:00:00,1640.08,1628.6,1637.78,21690.0,35445790.97,1631.82,direct,,2023-02-09
2023-02-09 16:00:00,1633.32,1618.44,1631.82,24552.99,39886518.32,1622.3,direct,,2023-02-09
2023-02-09 17:00:00,1628.9,1616.53,1622.3,15800.74,25640165.7,1623.59,direct,,2023-02-09
2023-02-09 18:00:00,1630.47,1620.2,1623.59,18329.97,29782037.76,1621.8,direct,,2023-02-09
2023-02-09 19:00:00,1622.19,1561.38,1621.8,81738.22,129654615.05,1579.64,direct,,2023-02-09
2023-02-09 20:00:00,1582.37,1565.88,1579.64,38159.68,60036510.29,1577.16,direct,,2023-02-09
2023-02-09 21:00:00,1578.05,1527.63,1577.16,77507.34,119863375.72,1541.1,direct,,2023-02-09
2023-02-09 22:00:00,1549.46,1530.08,1541.1,39454.32,60840875.06,1538.48,direct,,2023-02-09
2023-02-09 23:00:00,1549.85,1537.86,1538.48,18281.7,28240702.05,1545.78,direct,,2023-02-09
2023-02-10 00:00:00,1554.37,1542.82,1545.78,18944.64,29357331.65,1548.01,direct,,2023-02-10
2023-02-10 01:00:00,1552.92,1545.08,1548.01,14735.43,22814470.66,1550.37,direct,,2023-02-10
2023-02-10 02:00:00,1551.02,1544.09,1550.37,8044.65,12453949.55,1549.42,direct,,2023-02-10
2023-02-10 03:00:00,1549.63,1542.94,1549.42,7536.18,11645409.26,1543.63,direct,,2023-02-10
2023-02-10 04:00:00,1545.18,1532.77,1543.63,17844.16,27484103.33,1538.9,direct,,2023-02-10
2023-02-10 05:00:00,1546.43,1532.56,1538.9,21045.99,32401426.9,1542.11,direct,,2023-02-10
2023-02-10 06:00:00,1549.04,1540.77,1542.11,9725.38,15035391.11,1548.72,direct,,2023-02-10
2023-02-10 07:00:00,1552.93,1544.34,1548.72,10948.4,16949673.61,1551.9,direct,,2023-02-10
2023-02-10 08:00:00,1554.26,1549.94,1551.9,11768.42,18264673.7,1551.51,direct,,2023-02-10
2023-02-10 09:00:00,1552.7,1546.2,1551.51,6940.91,10757437.35,1546.42,direct,,2023-02-10
2023-02-10 10:00:00,1547.29,1542.55,1546.42,8206.7,12682112.05,1546.2,direct,,2023-02-10
2023-02-10 11:00:00,1546.23,1534.7,1546.2,17498.68,26936201.36,1537.03,direct,,2023-02-10
2023-02-10 12:00:00,1542.27,1533.5,1537.03,19454.87,29903852.61,1534.14,direct,,2023-02-10
2023-02-10 13:00:00,1542.49,1534.13,1534.14,12467.81,19187161.7,1538.02,direct,,2023-02-10
