b'eii freetag',267,2023-04-19 23:09:34+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648826198758428672,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Top Cryptocoins Ticker',963,2023-04-19 23:08:15+00:00,b'1: Bitcoin price is $29026.99 (-0.53% 1h)\n2: Ethereum price is $1961.10 (-0.66% 1h)\n3: Tether price is $1.00 (0.01%\xe2\x80\xa6 https://t.co/Uk9tvsmLEo',1648825870671282177,b'1: Bitcoin price is $29026.99 (-0.53% h)\n2: Ethereum price is $1961.10 (-0.66% h)\n3: Tether price is $1.00 (0.01%\xe2\x80\xa6 '
b'tictoknextblock',319,2023-04-19 23:08:04+00:00,"b'  Block 786167    \n\n  19th Apr 2023, 23:07:17 GMT\n\n  2,462 tx with a value of 5,706.613 \xe2\x82\xbf ($165.80m  )\n\n  distribu\xe2\x80\xa6 https://t.co/PAL0pmI5e0'",1648825822290276352,"b' Block \n\n th Apr , :07:17 GMT\n\n tx with a value of \xe2\x82\xbf ($165.80m )\n\n distribu\xe2\x80\xa6 '"
b'Whales Radar',3286,2023-04-19 23:05:02+00:00,b'#HOTUSDT #HOT \nSignal #10  \n\nLast Signal: 9 mins ago \nBefore: 0.00223300 \nAfter: 0.00221200  (-0.94%) \nVolume Chng:\xe2\x80\xa6 https://t.co/JThbfBSqHT',1648825061267128327,b' \nSignal \n\nLast Signal: mins ago \nBefore: \nAfter: (-0.94%) \nVolume Chngxe2\x80\xa6 '
b'\xe2\x9a\xa1Le0nel \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90',546,2023-04-19 23:04:23+00:00,b'RT @p0melaus: Giveaway $100.00! #Bitcoin       \n\nRt y fav.   \nFollow @RoobetES\nFollow me in https://t.co/MchjRvDXi2\nTag two friends! https:\xe2\x80\xa6',1648824897504960513,b'RT : Giveaway $100.00! \n\nRt y fav. \nFollow \nFollow me in two friends! httpsxe2\x80\xa6'
b'Dr. John \xe2\x9a\xa1\xef\xb8\x8f',509,2023-04-19 23:02:57+00:00,"b'When I first started HODLing #Bitcoin 03/2019 before I started pathology residency, the average closing price that\xe2\x80\xa6 https://t.co/4mwbDVG7rq'",1648824533313265664,"b'When I first started HODLing /2019 before I started pathology residency, the average closing price that\xe2\x80\xa6 '"
b'Wee Blue Ghost',467,2023-04-19 23:01:40+00:00,"b'- \nBTC price: $29,095 / \xc2\xa324,311 \n\n34.37 Naks per USD\n41.13 Naks per GBP\n\nA #Nak is one millionth of a #Bitcoin so i\xe2\x80\xa6 https://t.co/IdiqZhKr7Z'",1648824211723411456,"b'- \nBTC price: $29,095 / \xc2\xa324,311 \n\n34.37 Naks per USD\n41.13 Naks per GBP\n\nA is one millionth of a so i\xe2\x80\xa6 '"
b'EHT10C',31,2023-04-19 23:00:54+00:00,"b'   Wed, 19 Apr 2023 23:00:40 GMT - TOP 10 - $BTC: $29,112.00 +70.94% | $ETH: $1,968.28 +56.69% | $USDT: $1.00 |\xe2\x80\xa6 https://t.co/KlDByjq9U5'",1648824019934756865,"b' Wed, Apr :00:40 GMT - TOP - $BTC: $29,112.00 +70.94% | $ETH: $1,968.28 +56.69% | $USDT: $1.00 |\xe2\x80\xa6 '"
b'EverTry',32,2023-04-19 23:00:18+00:00,"b'Bitcoin price alert 2023-04-20 00:00:18 GMT\nBTC: $29,089\nETH: $1,966\nADA: $0.41779\nDOGE: $0.088063\nLINK: $7.8515\nMA\xe2\x80\xa6 https://t.co/fXUUv9RaRp'",1648823870219259904,"b'Bitcoin price alert -04-20 :00:18 GMT\nBTC: $29,089\nETH: $1,966\nADA: $0.41779\nDOGE: $0.088063\nLINK: $7.8515\nMA\xe2\x80\xa6 '"
b'CoinOK',10383,2023-04-19 23:00:05+00:00,b'1 BTC Price: Bitstamp 29084 USD #BTC #Bitcoin 2023-04-19 19:00 https://t.co/KlhPgHEhOq',1648823815324176391,b'1 BTC Price: Bitstamp USD -04-19 :00 '
b'Julio Medina',5422,2023-04-19 23:00:04+00:00,"b'If you invested your $1,400.00 stimulus check on 03/16/21 when #bitcoin was $55,805.70 your investment is now worth\xe2\x80\xa6 https://t.co/Zw8uPhbtx3'",1648823809569435648,"b'If you invested your $1,400.00 stimulus check on /16/21 when was $55,805.70 your investment is now worth\xe2\x80\xa6 '"
b'Bitcoin TX Fee Rates',2051,2023-04-19 23:00:03+00:00,b'Fastest: 25 sat/vB ($1.02)\nHalf Hour: 16 sat/vB ($0.65)\nHour: 12 sat/vB ($0.49)\nMinimum Fee: 1.00 sat/vB ($0.04)\nPe\xe2\x80\xa6 https://t.co/cXAzVsmt8f',1648823806268506114,b'Fastest: sat/vB ($1.02)\nHalf Hour: sat/vB ($0.65)\nHour: sat/vB ($0.49)\nMinimum Fee: sat/vB ($0.04)\nPe\xe2\x80\xa6 '
b'CarbonaraIndex',93,2023-04-19 23:00:03+00:00,"b'The price of\nSpaghetti alla Carbonara\nis 37,783 Satoshis\nor 0.00037783 BTC\n\n1 BTC = 29,086.90 USD\n1 USD = 3,438 Sat\xe2\x80\xa6 https://t.co/1tNaktJWUz'",1648823804393553920,b'The price of\nSpaghetti alla Carbonara\nis Satoshis\nor BTC\n\n1 BTC = USD\n1 USD = Sat\xe2\x80\xa6 '
b'Big Blockers',3025,2023-04-19 23:00:01+00:00,"b'The current price of Bitcoin is $29112.00.\nThe current price of BCash is $126.06, or 0.00433017 BTC.\nThe current pr\xe2\x80\xa6 https://t.co/eTsAPiI9az'",1648823798794457088,"b'The current price of Bitcoin is $29112.00.\nThe current price of BCash is $126.06, or BTC.\nThe current pr\xe2\x80\xa6 '"
b'Altruist Auctions',33609,2023-04-19 22:55:11+00:00,b'If You Are New To Crypto #NEXO Bank Is A Great Starting Point To Build Wealth. Join NEXO with my link. Top up with\xe2\x80\xa6 https://t.co/RXH7GHo5aV',1648822580470530049,b'If You Are New To Crypto Bank Is A Great Starting Point To Build Wealth. Join NEXO with my link. Top up with\xe2\x80\xa6 '
b'R.J.',13362,2023-04-19 22:47:01+00:00,b'RT @IGSquawk: Top IG 5 Crypto update\nBitcoin 29152.00 -0.33%\nEther 1968.89 -0.61%\nCardano 0.4181 +0%\nDogecoin 0.0881 -1.12%\nPolkadot 6.3711\xe2\x80\xa6',1648820523504226304,b'RT : Top IG Crypto update\nBitcoin %\nEther %\nCardano +0%\nDogecoin %\nPolkadot \xe2\x80\xa6'
b'Eurexcoin.com',64,2023-04-19 22:44:17+00:00,b'1: Bitcoin price is $29191.41 (-0.08% 1h)\n2: Ethereum price is $1974.73 (-0.23% 1h)\n3: Tether price is $1.00 (-0.01\xe2\x80\xa6 https://t.co/fN5grL9lyZ',1648819837324480513,b'1: Bitcoin price is $29191.41 (-0.08% h)\n2: Ethereum price is $1974.73 (-0.23% h)\n3: Tether price is $1.00 (-0.01\xe2\x80\xa6 '
b'Techcratic',6374,2023-04-19 22:42:57+00:00,"b'Your Daily Tech\n\nBitcoin Price Prediction as BTC Falls to $29,000 Support \xe2\x80\x93\xc2\xa0What Happens Next?\xe2\x80\xa6 https://t.co/x37iO9xJTE'",1648819503252250625,"b'Your Daily Tech\n\nBitcoin Price Prediction as BTC Falls to $29,000 Support \xe2\x80\x93\xc2\xa0What Happens Next?\xe2\x80\xa6 '"
b'IGSquawk',69293,2023-04-19 22:41:19+00:00,b'Top IG 5 Crypto update\nBitcoin 29152.00 -0.33%\nEther 1968.89 -0.61%\nCardano 0.4181 +0%\nDogecoin 0.0881 -1.12%\nPolkadot 6.3711 -0.23%',1648819091782901760,b'Top IG Crypto update\nBitcoin %\nEther %\nCardano +0%\nDogecoin %\nPolkadot %'
b'tictoknextblock',319,2023-04-19 22:41:03+00:00,"b'  Block 786163    \n\n  19th Apr 2023, 22:39:50 GMT\n\n  2,321 tx with a value of 35,580.740 \xe2\x82\xbf ($1.04b  )\n\n  distribut\xe2\x80\xa6 https://t.co/WPicu8GgrK'",1648819024191717379,"b' Block \n\n th Apr , :39:50 GMT\n\n tx with a value of \xe2\x82\xbf ($1.04b )\n\n distribut\xe2\x80\xa6 '"
b'h.',215,2023-04-19 22:36:48+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648817953159393280,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'\xf0\x9f\x87\xb8\xf0\x9f\x87\xbb El Salvador Bitcoin Day Index \xf0\x9f\x87\xb8\xf0\x9f\x87\xbb',506,2023-04-19 22:30:04+00:00,"b'30 USD on #ElSalvador #BitcoinDay got you 63,900 sat. \nNow 63,900 sat are 18.59 USD (-38.03%)\n\n1 BTC = 29,093.20 US\xe2\x80\xa6 https://t.co/Mrd5jAgfL2'",1648816258052227074,b'30 USD on got you sat. \nNow sat are USD (-38.03%)\n\n1 BTC = US\xe2\x80\xa6 '
"b'ZGB131425(\xf0\x9f\x92\x99,\xf0\x9f\xa7\xa1)'",69,2023-04-19 22:14:53+00:00,b'RT @BKEXGlobal:  #BKEX New Listing | @pepecoineth\n\n#PEPE/USDT will get listed on #BKEX \n\n Supported network: ERC20\n Trade: 22:00 on Apr. 19\xe2\x80\xa6',1648812439524507648,b'RT : New Listing | \n\n/USDT will get listed on \n\n Supported network: ERC20\n Trade: :00 on Apr. \xe2\x80\xa6'
"""b""""It's simple""""""",21,2023-04-19 22:13:05+00:00,"b'RT @Monetha_io: #Bitcoin giveaway!\n\nWe are giving away 10,000 Monetha points (\xe2\x89\x8833,500 SATS) to a random follower!\n\n1. Like &amp; Share this twe\xe2\x80\xa6'",1648811984626896898,"b'RT : giveaway!\n\nWe are giving away Monetha points (\xe2\x89\x8833,500 SATS) to a random follower!\n\n1. Like &amp; Share this twe\xe2\x80\xa6'"
b'Top Cryptocoins Ticker',963,2023-04-19 22:08:15+00:00,b'1: Bitcoin price is $29191.41 (-0.08% 1h)\n2: Ethereum price is $1974.73 (-0.23% 1h)\n3: Tether price is $1.00 (-0.01\xe2\x80\xa6 https://t.co/1LHiqLPOJX',1648810770505801728,b'1: Bitcoin price is $29191.41 (-0.08% h)\n2: Ethereum price is $1974.73 (-0.23% h)\n3: Tether price is $1.00 (-0.01\xe2\x80\xa6 '
b'Zachary A. Atkins',25095,2023-04-19 22:03:11+00:00,b'If You Are New To Crypto #NEXO Bank Is A Great Starting Point To Build Wealth. Join NEXO with my link. Top up with\xe2\x80\xa6 https://t.co/7k3oBHS6WH',1648809495869501441,b'If You Are New To Crypto Bank Is A Great Starting Point To Build Wealth. Join NEXO with my link. Top up with\xe2\x80\xa6 '
